C,No of Lines
95797.6,26
32925.3,42
72621.8,24
50497.3,32
12428.6,64
21672.6,54
82304.4,22
225.891,142
56126.1,32
38891.8,40
98182.6,22
96385.2,22
45679.4,34
68105.1,28
38373.6,38
27339.3,46
41631.7,38
31295.5,46
35544.6,44
96499.8,22
11516.4,68
7153.62,86
76916.5,30
30819.8,44
27633.6,52
86265.5,28
21119.0,58
28348.6,50
61609.7,32
85433.4,28
2030.84,130
34813.5,44
4253.31,102
58592.9,28
8406.27,84
1529.57,132
3437.68,104
69484.4,28
62161.9,28
46703.6,32
71132.3,28
44493.5,34
62200.6,26
26559.7,44
9768.85,70
7314.66,86
56856.7,26
61585.4,26
32216.6,36
81193.3,22
83789.1,22
73391.5,26
63377.2,32
41825.2,38
83715.4,24
53759.9,34
6406.86,88
39071.0,38
74175.8,28
48831.6,36
54060.1,34
53513.2,34
7096.45,88
26237.6,46
70304.9,28
28604.7,38
11547.2,72
55344.6,32
73181.8,26
77216.2,26
58773.2,32
27258.8,42
64237.4,30
6629.55,86
79441.7,28
91770.3,28
16238.9,46
87125.7,28
56488.8,32
49891.3,34
83713.4,28
71879.9,30
72818.7,30
21091.5,54
994.499,140
71004.2,30
73541.5,30
30128.3,44
39252.8,36
60237.1,32
73538.8,30
8370.28,82
15855.4,58
31194.2,38
83550.9,26
15929.6,58
77720.0,26
82723.9,26
52512.8,30
38858.7,36
89111.6,26
86394.4,26
87751.0,24
68272.7,30
10244.9,66
81394.0,26
45519.6,34
9676.22,68
29698.2,38
99609.9,24
71595.9,30
4097.19,102
51263.2,34
15765.6,64
30552.0,48
13298.3,68
7021.3,92
63625.0,26
70359.4,24
47376.2,40
60943.1,26
76780.9,22
52791.2,28
12886.9,64
18755.2,52
89592.1,24
30164.3,38
18853.5,52
68925.1,26
39351.7,36
38373.8,38
17982.7,52
16223.1,54
35335.7,40
21911.2,44
51598.9,32
61691.9,28
95438.5,24
56301.2,28
25486.9,42
23666.9,44
86210.2,26
69400.7,26
40847.1,32
20789.7,52
75121.7,26
94332.4,26
92935.2,26
32011.9,46
72108.0,26
70591.5,26
82178.5,26
46002.1,30
79905.7,26
63618.1,28
14095.7,64
98367.8,26
92072.3,26
97703.8,26
81094.4,26
30714.4,46
33008.1,44
64020.3,24
67679.3,24
85113.9,22
56747.4,30
87284.6,22
42470.8,36
70186.5,24
74454.9,24
97061.3,22
94015.7,22
4078.75,108
20971.2,50
25472.2,38
91647.8,24
95327.5,22
75352.2,26
71330.8,26
23450.7,44
42818.5,34
53673.3,34
92188.9,20
13124.1,72
28890.7,48
35706.9,40
50345.6,32
44586.0,32
11435.8,72
30463.8,48
88083.7,20
48026.8,32
56618.0,34
25999.4,46
79976.4,28
54259.6,34
66713.7,32
58684.0,32
37624.2,38
58384.2,32
61920.5,32
65887.7,32
61652.0,20
35720.4,32
87005.5,18
93344.6,18
65711.9,20
75864.1,18
53569.0,20
33662.9,32
30500.2,34
76572.4,18
85436.0,26
78524.6,26
39266.9,32
32574.4,32
30560.4,32
24110.7,38
14069.8,50
28754.0,34
92610.0,22
84411.4,26
66929.6,32
31303.3,42
9737.63,80
57927.6,34
2110.11,140
94387.8,26
52926.6,36
33356.0,42
99560.9,24
2648.01,128
88430.1,18
52665.9,26
7642.41,90
99615.2,18
6264.53,102
32719.3,40
93811.7,18
44524.0,28
51538.5,26
30927.8,40
82682.4,24
51075.9,34
38211.8,36
89580.5,24
11006.1,74
8155.13,82
29210.9,40
52575.5,34
50937.4,34
11157.1,74
56976.6,34
78998.5,32
59887.8,34
65397.9,34
72725.7,32
20418.6,50
75805.9,32
99121.2,28
48473.4,40
19899.2,50
62700.5,34
51490.0,38
59827.7,34
49478.0,40
52591.2,38
72540.3,32
82657.6,26
98493.4,24
69031.3,32
60536.6,34
53851.1,38
38772.1,42
52948.1,38
69766.6,32
85023.8,28
34579.1,42
31331.7,44
94996.6,26
81444.5,28
50465.4,38
40878.5,42
73034.5,34
14667.6,64
40044.1,42
48550.7,42
66092.8,34
23636.4,54
95231.5,32
50660.2,40
51011.5,40
37065.1,40
90256.7,26
92420.0,26
36625.6,40
45738.6,36
93335.3,26
45739.0,36
60525.4,34
11556.4,76
79336.3,32
27742.6,44
26480.4,46
88792.2,20
80033.9,20
46017.6,30
90912.7,20
78518.4,20
6138.43,94
94045.9,20
39410.5,32
55980.7,34
99852.8,24
83959.3,28
39391.2,42
56946.2,34
47197.4,38
11094.4,74
2794.32,138
88341.7,28
46994.4,38
31149.0,40
21401.4,52
36458.3,40
93898.7,30
29202.3,48
3222.03,112
87529.6,30
6941.92,84
50534.8,36
60851.2,34
12834.9,66
4589.87,112
64345.7,30
35409.6,42
11430.0,66
87618.5,28
56070.5,32
17304.7,66
48853.0,38
97647.7,28
23514.3,46
22030.5,48
62007.8,26
5108.69,98
94434.2,20
74077.3,26
8866.54,74
12060.9,64
18502.1,52
6602.93,88
25487.5,56
91856.3,26
80515.2,26
96805.0,26
72444.7,26
99623.0,26
99774.3,26
41782.9,40
47306.7,40
26866.7,50
98757.4,20
36711.3,38
45769.5,34
4492.4,104
1096.53,154
57270.0,28
63550.1,28
59822.1,28
76699.3,20
20285.1,56
68620.2,26
43247.0,32
