C,Lines,N
0.581,48,112
5.35454,48,112
4.21838,48,112
1.1162,48,112
7.09837,48,112
6.59444,74,113
6.55082,74,113
8.81613,74,113
6.85097,74,113
5.06142,74,113
6.47673,74,113
5.31882,74,113
0.282902,74,113
7.08499,74,113
7.62591,74,113
5.74072,58,114
6.35241,58,114
2.9744,58,114
7.26263,58,114
7.12801,58,114
9.87345,58,114
4.61777,58,114
7.73914,58,114
5.23854,58,114
5.59384,58,114
8.67609,54,115
5.33577,54,115
8.08362,54,115
0.156352,54,115
2.54695,54,115
2.2844,54,115
8.60081,54,115
4.13617,54,115
8.5077,54,115
5.10342,54,115
6.38921,58,116
8.12977,58,116
2.76702,58,116
9.0472,58,116
3.29659,58,116
4.17396,58,116
6.54201,58,116
8.36584,58,116
5.8049,58,116
3.54931,58,116
6.52587,86,117
5.66716,86,117
3.14925,86,117
4.55848,86,117
4.16733,86,117
2.10675,86,117
0.611987,86,117
6.06325,86,117
7.99168,86,117
6.42471,86,117
9.54119,50,118
6.28675,50,118
2.40739,50,118
0.208064,50,118
5.5842,50,118
8.39386,50,118
9.13643,50,118
7.70657,50,118
5.87125,50,118
1.6263,50,118
3.59727,66,119
1.68728,66,119
3.89266,66,119
0.88658,66,119
5.80365,66,119
9.69549,66,119
9.99525,66,119
5.92133,66,119
0.334385,66,119
6.12621,66,119
8.03609,84,120
3.72313,84,120
3.6353,84,120
7.2685,84,120
7.16284,84,120
6.86296,84,120
7.77897,84,120
7.13924,84,120
2.16773,84,120
7.27968,84,120
9.07222,54,121
4.18329,54,121
4.44068,54,121
9.68159,54,121
9.27469,54,121
7.49585,54,121
0.391449,54,121
4.95427,54,121
7.86023,54,121
0.0625584,54,121
3.01594,42,122
0.0359044,42,122
9.61858,42,122
9.87944,42,122
6.36379,42,122
8.59778,42,122
2.04876,42,122
1.17474,42,122
5.90304,42,122
1.95674,42,122
3.48533,70,123
7.34994,70,123
0.610294,70,123
6.51991,70,123
6.47121,70,123
7.71934,70,123
3.04615,70,123
4.12183,70,123
8.60461,70,123
6.65634,70,123
7.02518,72,124
6.8841,72,124
5.43621,72,124
1.52582,72,124
5.4675,72,124
5.10022,72,124
9.56126,72,124
2.94451,72,124
9.00731,72,124
3.64246,72,124
5.72647,90,125
7.81444,90,125
9.84718,90,125
7.63418,90,125
0.785849,90,125
6.1075,90,125
8.62905,90,125
7.02688,90,125
8.35268,90,125
5.36959,90,125
0.362082,60,126
4.39869,60,126
0.683957,60,126
1.84959,60,126
5.30576,60,126
6.32761,60,126
6.57193,60,126
5.99089,60,126
2.53931,60,126
4.33268,60,126
2.87161,62,127
9.92904,62,127
0.25866,62,127
8.3568,62,127
5.14791,62,127
7.42525,62,127
6.63132,62,127
5.45206,62,127
4.26301,62,127
5.20824,62,127
1.3241,48,128
6.35566,48,128
7.34536,48,128
9.67515,48,128
3.66867,48,128
6.43514,48,128
6.91558,48,128
3.85594,48,128
8.81034,48,128
0.992432,48,128
9.32867,70,129
2.166,70,129
7.04593,70,129
5.8172,70,129
7.46996,70,129
2.04043,70,129
5.54725,70,129
7.16455,70,129
3.07836,70,129
0.140297,70,129
5.65475,54,130
6.35482,54,130
3.24483,54,130
