Time,N
207411,204
204452,204
210259,204
207594,204
205422,204
209789,204
205569,204
200421,204
186078,205
179719,205
181514,205
196064,205
188921,205
190623,205
180847,205
180851,205
186499,205
176494,205
151558,206
154552,206
157457,206
149599,206
150599,206
153656,206
152591,206
154042,206
158540,206
152471,206
213428,207
228388,207
214428,207
218367,207
234367,207
218647,207
218388,207
211401,207
216689,207
217413,207
229469,208
234344,208
240776,208
243321,208
232212,208
251786,208
254318,208
255689,208
248930,208
233343,208
153031,209
155468,209
161565,209
155584,209
155582,209
153588,209
159690,209
158127,209
158571,209
166552,209
179915,210
188460,210
181844,210
180019,210
178521,210
193451,210
196152,210
197230,210
200464,210
201479,210
199679,211
191292,211
192485,211
197472,211
200132,211
201097,211
195447,211
196700,211
197470,211
195661,211
219908,212
213699,212
222404,212
223669,212
233181,212
235082,212
190690,212
181795,212
178413,212
186770,212
186902,213
197443,213
186613,213
200463,213
197775,213
189033,213
182262,213
185093,213
196627,213
190413,213
158428,214
156070,214
179652,214
178347,214
173501,214
181046,214
164152,214
161417,214
157742,214
155887,214
187394,215
209650,215
190099,215
178116,215
180755,215
177617,215
173894,215
183725,215
179519,215
170383,215
198023,216
221034,216
218380,216
211107,216
204421,216
219501,216
211400,216
214426,216
215541,216
245885,216
218915,217
204451,217
175019,217
168884,217
176370,217
173148,217
185884,217
179758,217
174329,217
183236,217
171269,218
165115,218
158623,218
167789,218
178902,218
162014,218
171190,218
168712,218
174509,218
174574,218
194455,219
202631,219
204548,219
187936,219
190146,219
201507,219
206315,219
203911,219
189637,219
196101,219
267981,220
272278,220
261832,220
256044,220
269414,220
281641,220
257143,220
261007,220
273263,220
263378,220
200822,221
208446,221
212829,221
209472,221
204125,221
193713,221
204195,221
216869,221
261428,221
268532,221
201630,222
192121,222
198964,222
188342,222
185061,222
184135,222
220899,222
204944,222
200448,222
202237,222
198962,223
210049,223
198081,223
189395,223
198976,223
199158,223
189393,223
216433,223
210563,223
204452,223
227480,224
224173,224
222629,224
211164,224
218552,224
216798,224
215634,224
211411,224
208734,224
212315,224
182497,225
192361,225
186960,225
174820,225
186332,225
183511,225
202458,225
185501,225
184506,225
238365,225
231381,226
214463,226
199557,226
202138,226
201748,226
193471,226
187652,226
191467,226
202583,226
197492,226
184534,227
180228,227
195687,227
187696,227
189769,227
190505,227
250969,227
219618,227
209475,227
199416,227
171614,228
192922,228
206848,228
236171,228
209613,228
196668,228
189582,228
199947,228
194450,228
188478,228
235779,229
238148,229
261163,229
247678,229
231867,229
211680,229
235417,229
248586,229
248713,229
239739,229
193861,230
206137,230
202081,230
198714,230
186015,230
223699,230
214272,230
196001,230
195106,230
190825,230
229061,231
215267,231
194575,231
178458,231
178382,231
184630,231
199948,231
189089,231
184087,231
180843,231
224315,232
222094,232
208294,232
196625,232
199243,232
192183,232
185421,232
184307,232
183895,232
206072,232
254528,233
250441,233
260204,233
278637,233
266015,233
269146,233
266785,233
287293,233
267169,233
273933,233
196273,234
187990,234
182247,234
197582,234
192563,234
186321,234
187890,234
183381,234
206163,234
185759,234
233948,235
237482,235
246345,235
238761,235
237270,235
231488,235
253344,235
240581,235
229449,235
226027,235
136318,236
147634,236
137837,236
141385,236
144430,236
141665,236
145965,236
142118,236
140847,236
132959,236
271158,237
282303,237
283860,237
275901,237
294264,237
273786,237
271858,237
280718,237
255850,237
250452,237
174500,238
190837,238
186126,238
180297,238
182736,238
178218,238
193080,238
181406,238
173813,238
179395,238
228629,239
240725,239
238514,239
234891,239
228258,239
228759,239
231631,239
223103,239
225360,239
235632,239
215861,240
210619,240
205294,240
215228,240
214714,240
219931,240
212044,240
219653,240
228062,240
210429,240
212220,241
224989,241
217148,241
210864,241
214914,241
221808,241
229024,241
216811,241
227755,241
228180,241
218353,242
202783,242
215201,242
225265,242
221883,242
207132,242
202512,242
220845,242
218807,242
211772,242
195753,243
204404,243
207234,243
198835,243
196836,243
205353,243
209895,243
201079,243
196646,243
213667,243
254748,244
249060,244
249664,244
258787,244
257279,244
281307,244
253644,244
266854,244
278500,244
266813,244
235964,245
245857,245
246022,245
231380,245
230383,245
286013,245
279936,245
239930,245
236126,245
259064,245
236380,246
243061,246
236333,246
243136,246
232312,246
